10049	DNAJB6	uc003wnk.2	uc003wnj.2
10049	DNAJB6	uc003wnk.2	uc010lqt.2
10049	DNAJB6	uc003wnk.2	uc011kvz.1
10049	DNAJB6	uc011kvy.1	uc011kvz.1
10051	SMC4	uc003fdh.2	uc003fdl.2
10055	SAE1	uc002pgd.2	uc010xyk.1
10057	ABCC5	uc003fmh.2	uc010hxl.2
10058	ABCB6	uc002vkc.1	uc010fwe.1
10059	DNM1L	uc001rld.2	uc010ski.1
10059	DNM1L	uc001rlf.2	uc010ski.1
1006	CDH8	uc002eoh.2	uc002eog.1
10062	NR1H3	uc009ylm.2	uc001nek.2
10066	SCAMP2	uc002azb.1	uc002aza.1
10066	SCAMP2	uc002azb.1	uc010bkg.1
10067	SCAMP3	uc001fjs.2	uc001fjr.2
10068	IL18BP	uc001orf.1	uc001orh.1
10069	RWDD2B	uc002yms.2	uc002ymu.2
10072	DPP3	uc001oif.1	uc001oih.1
10075	HUWE1	uc004dsq.1	uc004dsn.2
10076	PTPRU	uc001brw.2	uc001brx.2
10079	ATP9A	uc002xwg.1	uc002xwf.1
10089	KCNK7	uc001oes.2	uc001oeq.2
1009	CDH11	uc002eoi.2	uc010cdn.2
10096	ACTR3	uc002tkx.1	uc010yyd.1
101	ADAM8	uc010quz.1	uc010qva.1
1010	CDH12	uc010iuc.2	uc011cno.1
10101	NUBP2	uc002cmw.3	uc002cmx.3
10106	CTDSP2	uc001sqm.2	uc010ssg.1
10106	CTDSP2	uc009zqf.2	uc010ssg.1
10111	RAD50	uc003kxi.2	uc003kxh.2
10113	PREB	uc002rix.1	uc002riy.1
1012	CDH13	uc002fgx.2	uc010vnt.1
10121	ACTR1A	uc001kvv.2	uc010qqo.1
10123	ARL4C	uc002vvn.2	uc002vvm.3
10125	RASGRP1	uc001zke.3	uc010bbg.2
10129	FRY	uc001utx.2	uc001uty.2
10131	TRAP1	uc002cvt.3	uc002cvs.2
10131	TRAP1	uc002cvt.3	uc010uxf.1
10133	OPTN	uc001ilz.1	uc001ilw.1
10138	YAF2	uc001rmv.2	uc010sko.1
10138	YAF2	uc001rmv.2	uc010skp.1
1014	CDH16	uc002eql.2	uc002eqm.2
10142	AKAP9	uc003uli.2	uc003ulg.2
10142	AKAP9	uc003ulj.2	uc003ull.2
10144	FAM13A	uc011cdp.1	uc003hsb.1
10146	G3BP1	uc003lun.2	uc003luq.2
10147	SFRS14	uc002nkx.2	uc010xqk.1
10147	SFRS14	uc002nlb.2	uc002nkz.1
10150	MBNL2	uc001vna.2	uc010tij.1
