Domain1	Domain2	Source
PF02525	PF02525	iPfam
PF03678	PF03678	iPfam
PF04744	PF04744	iPfam
PF00575	PF00575	iPfam
PF09341	PF09341	iPfam
PF13673	PF13673	iPfam
PF03573	PF03573	iPfam
PF13419	PF13419	iPfam
PF06652	PF06652	iPfam
PF13377	PF13377	iPfam
PF09213	PF09213	iPfam
PF06941	PF06941	iPfam
PF00232	PF00232	iPfam
PF13712	PF13712	iPfam
PF03999	PF03999	iPfam
PF02905	PF02905	iPfam
PF07081	PF07081	iPfam
PF00503	PF00503	iPfam
PF07833	PF07833	iPfam
PF00091	PF00091	iPfam
PF09259	PF09259	iPfam
PF02657	PF02657	iPfam
PF02773	PF02773	iPfam
PF13083	PF13083	iPfam
PF00514	PF00514	iPfam
PF00956	PF00956	iPfam
PF02334	PF02334	iPfam
PF09126	PF09126	iPfam
PF01536	PF01536	iPfam
PF00834	PF00834	iPfam
PF00708	PF00708	iPfam
PF10294	PF10294	iPfam
PF12002	PF12002	iPfam
PF02915	PF02915	iPfam
PF01634	PF01634	iPfam
PF08361	PF08361	iPfam
PF12692	PF12692	iPfam
PF05400	PF05400	iPfam
PF12695	PF12695	iPfam
PF00789	PF00789	iPfam
PF00154	PF00154	iPfam
PF01538	PF01538	iPfam
PF00101	PF00101	iPfam
PF01996	PF01996	iPfam
PF00517	PF00517	iPfam
PF01274	PF01274	iPfam
PF13690	PF13690	iPfam
PF07730	PF07730	iPfam
PF10391	PF10391	iPfam
PF00261	PF00261	iPfam
PF00128	PF00128	iPfam
PF04253	PF04253	iPfam
PF09448	PF09448	iPfam
PF08933	PF08933	iPfam
PF02452	PF02452	iPfam
PF12840	PF12840	iPfam
PF05833	PF05833	iPfam
PF01111	PF01111	iPfam
PF01117	PF01117	iPfam
PF07385	PF07385	iPfam
PF05496	PF05496	iPfam
PF00096	PF00096	iPfam
PF02209	PF02209	iPfam
PF00088	PF00088	iPfam
PF00199	PF00199	iPfam
PF06616	PF06616	iPfam
PF10163	PF10163	iPfam
PF02633	PF02633	iPfam
PF07417	PF07417	iPfam
PF09059	PF09059	iPfam
PF00167	PF00167	iPfam
PF01335	PF01335	iPfam
PF00730	PF00730	iPfam
